2016-09-09 17:24:55 startup archives unpack
2016-09-09 17:24:56 install liberror-perl:all <none> 0.17-1.1
2016-09-09 17:24:56 status half-installed liberror-perl:all 0.17-1.1
2016-09-09 17:24:56 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2016-09-09 17:24:56 status unpacked liberror-perl:all 0.17-1.1
2016-09-09 17:24:56 status unpacked liberror-perl:all 0.17-1.1
2016-09-09 17:24:56 install git-man:all <none> 1:1.9.1-1ubuntu0.3
2016-09-09 17:24:56 status half-installed git-man:all 1:1.9.1-1ubuntu0.3
2016-09-09 17:24:56 status unpacked git-man:all 1:1.9.1-1ubuntu0.3
2016-09-09 17:24:56 status unpacked git-man:all 1:1.9.1-1ubuntu0.3
2016-09-09 17:24:56 install git:amd64 <none> 1:1.9.1-1ubuntu0.3
2016-09-09 17:24:56 status half-installed git:amd64 1:1.9.1-1ubuntu0.3
2016-09-09 17:24:56 status unpacked git:amd64 1:1.9.1-1ubuntu0.3
2016-09-09 17:24:56 status unpacked git:amd64 1:1.9.1-1ubuntu0.3
2016-09-09 17:24:56 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2016-09-09 17:24:56 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2016-09-09 17:24:57 status installed man-db:amd64 2.6.7.1-1ubuntu1
2016-09-09 17:24:57 startup packages configure
2016-09-09 17:24:57 configure liberror-perl:all 0.17-1.1 <none>
2016-09-09 17:24:57 status unpacked liberror-perl:all 0.17-1.1
2016-09-09 17:24:57 status half-configured liberror-perl:all 0.17-1.1
2016-09-09 17:24:57 status installed liberror-perl:all 0.17-1.1
2016-09-09 17:24:57 configure git-man:all 1:1.9.1-1ubuntu0.3 <none>
2016-09-09 17:24:57 status unpacked git-man:all 1:1.9.1-1ubuntu0.3
2016-09-09 17:24:57 status half-configured git-man:all 1:1.9.1-1ubuntu0.3
2016-09-09 17:24:57 status installed git-man:all 1:1.9.1-1ubuntu0.3
2016-09-09 17:24:57 configure git:amd64 1:1.9.1-1ubuntu0.3 <none>
2016-09-09 17:24:57 status unpacked git:amd64 1:1.9.1-1ubuntu0.3
2016-09-09 17:24:57 status unpacked git:amd64 1:1.9.1-1ubuntu0.3
2016-09-09 17:24:57 status half-configured git:amd64 1:1.9.1-1ubuntu0.3
2016-09-09 17:24:57 status installed git:amd64 1:1.9.1-1ubuntu0.3
2016-09-09 17:43:35 startup archives unpack
2016-09-09 17:43:35 install libjpeg-turbo8:amd64 <none> 1.3.0-0ubuntu2
2016-09-09 17:43:35 status half-installed libjpeg-turbo8:amd64 1.3.0-0ubuntu2
2016-09-09 17:43:35 status unpacked libjpeg-turbo8:amd64 1.3.0-0ubuntu2
2016-09-09 17:43:35 status unpacked libjpeg-turbo8:amd64 1.3.0-0ubuntu2
2016-09-09 17:43:35 install liblcms2-2:amd64 <none> 2.5-0ubuntu4.1
2016-09-09 17:43:35 status half-installed liblcms2-2:amd64 2.5-0ubuntu4.1
2016-09-09 17:43:35 status unpacked liblcms2-2:amd64 2.5-0ubuntu4.1
2016-09-09 17:43:35 status unpacked liblcms2-2:amd64 2.5-0ubuntu4.1
2016-09-09 17:43:35 install libjbig0:amd64 <none> 2.0-2ubuntu4.1
2016-09-09 17:43:35 status half-installed libjbig0:amd64 2.0-2ubuntu4.1
2016-09-09 17:43:35 status unpacked libjbig0:amd64 2.0-2ubuntu4.1
2016-09-09 17:43:35 status unpacked libjbig0:amd64 2.0-2ubuntu4.1
2016-09-09 17:43:35 install libjpeg8:amd64 <none> 8c-2ubuntu8
2016-09-09 17:43:35 status half-installed libjpeg8:amd64 8c-2ubuntu8
2016-09-09 17:43:35 status unpacked libjpeg8:amd64 8c-2ubuntu8
2016-09-09 17:43:35 status unpacked libjpeg8:amd64 8c-2ubuntu8
2016-09-09 17:43:35 install libtiff5:amd64 <none> 4.0.3-7ubuntu0.4
2016-09-09 17:43:35 status half-installed libtiff5:amd64 4.0.3-7ubuntu0.4
2016-09-09 17:43:36 status unpacked libtiff5:amd64 4.0.3-7ubuntu0.4
2016-09-09 17:43:36 status unpacked libtiff5:amd64 4.0.3-7ubuntu0.4
2016-09-09 17:43:36 install libxslt1.1:amd64 <none> 1.1.28-2build1
2016-09-09 17:43:36 status half-installed libxslt1.1:amd64 1.1.28-2build1
2016-09-09 17:43:36 status unpacked libxslt1.1:amd64 1.1.28-2build1
2016-09-09 17:43:36 status unpacked libxslt1.1:amd64 1.1.28-2build1
2016-09-09 17:43:36 install libwebp5:amd64 <none> 0.4.0-4
2016-09-09 17:43:36 status half-installed libwebp5:amd64 0.4.0-4
2016-09-09 17:43:36 status unpacked libwebp5:amd64 0.4.0-4
2016-09-09 17:43:36 status unpacked libwebp5:amd64 0.4.0-4
2016-09-09 17:43:36 install libwebpmux1:amd64 <none> 0.4.0-4
2016-09-09 17:43:36 status half-installed libwebpmux1:amd64 0.4.0-4
2016-09-09 17:43:36 status unpacked libwebpmux1:amd64 0.4.0-4
2016-09-09 17:43:36 status unpacked libwebpmux1:amd64 0.4.0-4
2016-09-09 17:43:36 install python-support:all <none> 1.0.15
2016-09-09 17:43:36 status half-installed python-support:all 1.0.15
2016-09-09 17:43:36 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2016-09-09 17:43:36 status unpacked python-support:all 1.0.15
2016-09-09 17:43:36 status unpacked python-support:all 1.0.15
2016-09-09 17:43:36 install python-lxml:amd64 <none> 3.3.3-1ubuntu0.1
2016-09-09 17:43:36 status half-installed python-lxml:amd64 3.3.3-1ubuntu0.1
2016-09-09 17:43:36 status unpacked python-lxml:amd64 3.3.3-1ubuntu0.1
2016-09-09 17:43:36 status unpacked python-lxml:amd64 3.3.3-1ubuntu0.1
2016-09-09 17:43:36 install python-greenlet:amd64 <none> 0.4.2-1ubuntu0.1
2016-09-09 17:43:36 status half-installed python-greenlet:amd64 0.4.2-1ubuntu0.1
2016-09-09 17:43:36 status unpacked python-greenlet:amd64 0.4.2-1ubuntu0.1
2016-09-09 17:43:36 status unpacked python-greenlet:amd64 0.4.2-1ubuntu0.1
2016-09-09 17:43:36 install python-gevent:amd64 <none> 1.0-1ubuntu1.1
2016-09-09 17:43:36 status half-installed python-gevent:amd64 1.0-1ubuntu1.1
2016-09-09 17:43:36 status unpacked python-gevent:amd64 1.0-1ubuntu1.1
2016-09-09 17:43:36 status unpacked python-gevent:amd64 1.0-1ubuntu1.1
2016-09-09 17:43:36 install python-gevent-websocket:all <none> 0.9.3-1
2016-09-09 17:43:36 status half-installed python-gevent-websocket:all 0.9.3-1
2016-09-09 17:43:36 status unpacked python-gevent-websocket:all 0.9.3-1
2016-09-09 17:43:36 status unpacked python-gevent-websocket:all 0.9.3-1
2016-09-09 17:43:36 install python-gevent-socketio:all <none> 0.3.7.99-1
2016-09-09 17:43:36 status half-installed python-gevent-socketio:all 0.3.7.99-1
2016-09-09 17:43:36 status unpacked python-gevent-socketio:all 0.3.7.99-1
2016-09-09 17:43:36 status unpacked python-gevent-socketio:all 0.3.7.99-1
2016-09-09 17:43:36 install python-psutil:amd64 <none> 1.2.1-1ubuntu2
2016-09-09 17:43:36 status half-installed python-psutil:amd64 1.2.1-1ubuntu2
2016-09-09 17:43:36 status unpacked python-psutil:amd64 1.2.1-1ubuntu2
2016-09-09 17:43:36 status unpacked python-psutil:amd64 1.2.1-1ubuntu2
2016-09-09 17:43:36 install python-reconfigure:all <none> 0.1.77
2016-09-09 17:43:36 status half-installed python-reconfigure:all 0.1.77
2016-09-09 17:43:36 status unpacked python-reconfigure:all 0.1.77
2016-09-09 17:43:36 status unpacked python-reconfigure:all 0.1.77
2016-09-09 17:43:36 install python-lockfile:all <none> 1:0.8-2ubuntu2
2016-09-09 17:43:36 status half-installed python-lockfile:all 1:0.8-2ubuntu2
2016-09-09 17:43:36 status unpacked python-lockfile:all 1:0.8-2ubuntu2
2016-09-09 17:43:36 status unpacked python-lockfile:all 1:0.8-2ubuntu2
2016-09-09 17:43:36 install python-daemon:all <none> 1.5.5-1ubuntu1
2016-09-09 17:43:36 status half-installed python-daemon:all 1.5.5-1ubuntu1
2016-09-09 17:43:36 status unpacked python-daemon:all 1.5.5-1ubuntu1
2016-09-09 17:43:36 status unpacked python-daemon:all 1.5.5-1ubuntu1
2016-09-09 17:43:36 install python-passlib:all <none> 1.5.3-2
2016-09-09 17:43:36 status half-installed python-passlib:all 1.5.3-2
2016-09-09 17:43:36 status unpacked python-passlib:all 1.5.3-2
2016-09-09 17:43:36 status unpacked python-passlib:all 1.5.3-2
2016-09-09 17:43:37 install python-dbus-dev:all <none> 1.2.0-2build2
2016-09-09 17:43:37 status half-installed python-dbus-dev:all 1.2.0-2build2
2016-09-09 17:43:37 status unpacked python-dbus-dev:all 1.2.0-2build2
2016-09-09 17:43:37 status unpacked python-dbus-dev:all 1.2.0-2build2
2016-09-09 17:43:37 install python-dbus:amd64 <none> 1.2.0-2build2
2016-09-09 17:43:37 status half-installed python-dbus:amd64 1.2.0-2build2
2016-09-09 17:43:37 status unpacked python-dbus:amd64 1.2.0-2build2
2016-09-09 17:43:37 status unpacked python-dbus:amd64 1.2.0-2build2
2016-09-09 17:43:37 install python-pil:amd64 <none> 2.3.0-1ubuntu3
2016-09-09 17:43:37 status half-installed python-pil:amd64 2.3.0-1ubuntu3
2016-09-09 17:43:37 status unpacked python-pil:amd64 2.3.0-1ubuntu3
2016-09-09 17:43:37 status unpacked python-pil:amd64 2.3.0-1ubuntu3
2016-09-09 17:43:37 install python-imaging:all <none> 2.3.0-1ubuntu3
2016-09-09 17:43:37 status half-installed python-imaging:all 2.3.0-1ubuntu3
2016-09-09 17:43:37 status unpacked python-imaging:all 2.3.0-1ubuntu3
2016-09-09 17:43:37 status unpacked python-imaging:all 2.3.0-1ubuntu3
2016-09-09 17:43:37 install libapt-pkg-perl:amd64 <none> 0.1.29build1
2016-09-09 17:43:37 status half-installed libapt-pkg-perl:amd64 0.1.29build1
2016-09-09 17:43:37 status unpacked libapt-pkg-perl:amd64 0.1.29build1
2016-09-09 17:43:37 status unpacked libapt-pkg-perl:amd64 0.1.29build1
2016-09-09 17:43:37 install apt-show-versions:all <none> 0.22.3
2016-09-09 17:43:37 status half-installed apt-show-versions:all 0.22.3
2016-09-09 17:43:37 status unpacked apt-show-versions:all 0.22.3
2016-09-09 17:43:37 status unpacked apt-show-versions:all 0.22.3
2016-09-09 17:43:37 install python-markupsafe:amd64 <none> 0.18-1build2
2016-09-09 17:43:37 status half-installed python-markupsafe:amd64 0.18-1build2
2016-09-09 17:43:37 status unpacked python-markupsafe:amd64 0.18-1build2
2016-09-09 17:43:37 status unpacked python-markupsafe:amd64 0.18-1build2
2016-09-09 17:43:37 install python-mako:all <none> 0.9.1-1
2016-09-09 17:43:37 status half-installed python-mako:all 0.9.1-1
2016-09-09 17:43:37 status unpacked python-mako:all 0.9.1-1
2016-09-09 17:43:37 status unpacked python-mako:all 0.9.1-1
2016-09-09 17:43:37 install python-catcher:all <none> 0.1.7
2016-09-09 17:43:37 status half-installed python-catcher:all 0.1.7
2016-09-09 17:43:37 status unpacked python-catcher:all 0.1.7
2016-09-09 17:43:37 status unpacked python-catcher:all 0.1.7
2016-09-09 17:43:37 install python-exconsole:all <none> 0.1.5
2016-09-09 17:43:37 status half-installed python-exconsole:all 0.1.5
2016-09-09 17:43:37 status unpacked python-exconsole:all 0.1.5
2016-09-09 17:43:37 status unpacked python-exconsole:all 0.1.5
2016-09-09 17:43:37 install python-ldap:amd64 <none> 2.4.10-1build1
2016-09-09 17:43:37 status half-installed python-ldap:amd64 2.4.10-1build1
2016-09-09 17:43:37 status unpacked python-ldap:amd64 2.4.10-1build1
2016-09-09 17:43:37 status unpacked python-ldap:amd64 2.4.10-1build1
2016-09-09 17:43:37 install ajenti:all <none> 1.2.23.8
2016-09-09 17:43:37 status half-installed ajenti:all 1.2.23.8
2016-09-09 17:43:37 status triggers-pending ureadahead:amd64 0.100.0-16
2016-09-09 17:43:37 status half-installed ajenti:all 1.2.23.8
2016-09-09 17:43:37 status unpacked ajenti:all 1.2.23.8
2016-09-09 17:43:37 status unpacked ajenti:all 1.2.23.8
2016-09-09 17:43:37 install python-gi:amd64 <none> 3.12.0-1ubuntu1
2016-09-09 17:43:37 status half-installed python-gi:amd64 3.12.0-1ubuntu1
2016-09-09 17:43:38 status unpacked python-gi:amd64 3.12.0-1ubuntu1
2016-09-09 17:43:38 status unpacked python-gi:amd64 3.12.0-1ubuntu1
2016-09-09 17:43:38 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2016-09-09 17:43:38 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2016-09-09 17:43:38 status installed man-db:amd64 2.6.7.1-1ubuntu1
2016-09-09 17:43:38 trigproc ureadahead:amd64 0.100.0-16 0.100.0-16
2016-09-09 17:43:38 status half-configured ureadahead:amd64 0.100.0-16
2016-09-09 17:43:38 status installed ureadahead:amd64 0.100.0-16
2016-09-09 17:43:38 startup packages configure
2016-09-09 17:43:38 configure libjpeg-turbo8:amd64 1.3.0-0ubuntu2 <none>
2016-09-09 17:43:38 status unpacked libjpeg-turbo8:amd64 1.3.0-0ubuntu2
2016-09-09 17:43:38 status half-configured libjpeg-turbo8:amd64 1.3.0-0ubuntu2
2016-09-09 17:43:38 status installed libjpeg-turbo8:amd64 1.3.0-0ubuntu2
2016-09-09 17:43:38 status triggers-pending libc-bin:amd64 2.19-0ubuntu6.9
2016-09-09 17:43:38 configure liblcms2-2:amd64 2.5-0ubuntu4.1 <none>
2016-09-09 17:43:38 status unpacked liblcms2-2:amd64 2.5-0ubuntu4.1
2016-09-09 17:43:38 status half-configured liblcms2-2:amd64 2.5-0ubuntu4.1
2016-09-09 17:43:38 status installed liblcms2-2:amd64 2.5-0ubuntu4.1
2016-09-09 17:43:38 configure libjbig0:amd64 2.0-2ubuntu4.1 <none>
2016-09-09 17:43:38 status unpacked libjbig0:amd64 2.0-2ubuntu4.1
2016-09-09 17:43:38 status half-configured libjbig0:amd64 2.0-2ubuntu4.1
2016-09-09 17:43:38 status installed libjbig0:amd64 2.0-2ubuntu4.1
2016-09-09 17:43:38 configure libjpeg8:amd64 8c-2ubuntu8 <none>
2016-09-09 17:43:38 status unpacked libjpeg8:amd64 8c-2ubuntu8
2016-09-09 17:43:38 status half-configured libjpeg8:amd64 8c-2ubuntu8
2016-09-09 17:43:38 status installed libjpeg8:amd64 8c-2ubuntu8
2016-09-09 17:43:38 configure libtiff5:amd64 4.0.3-7ubuntu0.4 <none>
2016-09-09 17:43:38 status unpacked libtiff5:amd64 4.0.3-7ubuntu0.4
2016-09-09 17:43:38 status half-configured libtiff5:amd64 4.0.3-7ubuntu0.4
2016-09-09 17:43:38 status installed libtiff5:amd64 4.0.3-7ubuntu0.4
2016-09-09 17:43:38 configure libxslt1.1:amd64 1.1.28-2build1 <none>
2016-09-09 17:43:38 status unpacked libxslt1.1:amd64 1.1.28-2build1
2016-09-09 17:43:38 status half-configured libxslt1.1:amd64 1.1.28-2build1
2016-09-09 17:43:38 status installed libxslt1.1:amd64 1.1.28-2build1
2016-09-09 17:43:38 configure libwebp5:amd64 0.4.0-4 <none>
2016-09-09 17:43:38 status unpacked libwebp5:amd64 0.4.0-4
2016-09-09 17:43:38 status half-configured libwebp5:amd64 0.4.0-4
2016-09-09 17:43:38 status installed libwebp5:amd64 0.4.0-4
2016-09-09 17:43:38 configure libwebpmux1:amd64 0.4.0-4 <none>
2016-09-09 17:43:38 status unpacked libwebpmux1:amd64 0.4.0-4
2016-09-09 17:43:38 status half-configured libwebpmux1:amd64 0.4.0-4
2016-09-09 17:43:38 status installed libwebpmux1:amd64 0.4.0-4
2016-09-09 17:43:38 configure python-support:all 1.0.15 <none>
2016-09-09 17:43:38 status unpacked python-support:all 1.0.15
2016-09-09 17:43:38 status half-configured python-support:all 1.0.15
2016-09-09 17:43:38 status installed python-support:all 1.0.15
2016-09-09 17:43:39 configure python-lxml:amd64 3.3.3-1ubuntu0.1 <none>
2016-09-09 17:43:39 status unpacked python-lxml:amd64 3.3.3-1ubuntu0.1
2016-09-09 17:43:39 status half-configured python-lxml:amd64 3.3.3-1ubuntu0.1
2016-09-09 17:43:39 status installed python-lxml:amd64 3.3.3-1ubuntu0.1
2016-09-09 17:43:39 configure python-greenlet:amd64 0.4.2-1ubuntu0.1 <none>
2016-09-09 17:43:39 status unpacked python-greenlet:amd64 0.4.2-1ubuntu0.1
2016-09-09 17:43:39 status half-configured python-greenlet:amd64 0.4.2-1ubuntu0.1
2016-09-09 17:43:39 status installed python-greenlet:amd64 0.4.2-1ubuntu0.1
2016-09-09 17:43:39 configure python-gevent:amd64 1.0-1ubuntu1.1 <none>
